幼苗序号,height_t,height_m,area_t,area_m,r_mean,g_mean,b_mean,r_std,g_std,b_std,r_offset,g_offset,b_offset,g/b,g/r,g/rgb,r/rgb,b/rgb,ExR,NDI,EXG,ExGR,CIVE,VEG,com,h_mean,s_mean,v_mean,h_std,s_std,v_std,h_thirdMoment,s_thirdMoment,v_thirdMoment,L_mean,a_mean,b_mean,L_std,a_std,b_std,L_offset,a_offset,b_offset,contrast0,contrast90,contrast180,contrast270,dissimilarity0,dissimilarity90,dissimilarity180,dissimilarity270,homogeneity0,homogeneity90,homogeneity180,homogeneity270,energy0,energy90,energy180,energy270 ,correlation0,correlation90,correlation180,correlation270,asm0,asm90,asm180,asm270
第11株,2.7,2.751,6.5159,5.2369,14.07310103,18.6594325,14.60359911,43.60341325,55.09856267,43.82540126,64.84659629,78.25520305,63.09148087,1.277728343,1.325893452,0.39419005,0.297301453,0.308508496,0.022031985,0.140115383,0.18257015,0.160538166,18.71767258,1.308603102,6.428581162,9.339071241,17.26898969,18.7040709,24.79761336,51.68398009,55.08485845,35.4235734,79.45176923,78.23546828,18.36274853,125.7504819,129.9437892,54.219543,6.649233363,6.511333229,76.84783168,9.442971427,10.20113779,0.426608108,0.569098916,0.451202617,0.656321138,0.078972973,0.097310298,0.077705465,0.110304878,0.976985078,0.972817051,0.97783258,0.9704896,0.891705456,0.891685703,0.891639195,0.890814148,0.977667666,0.970117227,0.976388935,0.965537436,0.795138621,0.795103393,0.795020454,0.793549847
第12株,3,3.451,4.7126,4.2358,6.310430043,9.918680006,7.621001941,27.51734024,39.31788644,31.00719039,47.44546506,62.57514652,50.44926399,1.301492912,1.571791453,0.415875616,0.264587019,0.319537365,-0.045453788,0.222331967,0.247626847,0.293080635,18.68990464,1.475162731,6.495757094,5.619702852,13.36980738,9.954091384,19.88385114,48.1206325,39.31061763,31.98983832,76.26984287,62.562207,9.756794087,126.5569882,129.6320815,38.72678798,5.78114234,6.99290813,61.53525971,9.224894426,11.62519805,0.319375608,0.338010195,0.258755184,0.455051836,0.058763195,0.061692528,0.049559059,0.07620356,0.983724674,0.982775879,0.985685022,0.980685428,0.936541715,0.936866945,0.936553598,0.93591995,0.964902141,0.962787585,0.971784961,0.949870786,0.877110384,0.877719673,0.877132642,0.875946153
第13株,3.1,3.472,9.7014,9.568,2.643198073,4.889384928,3.833712264,15.76786398,27.62257806,22.06774575,29.44900888,49.39210647,39.96588217,1.275365649,1.849798915,0.430165222,0.232547018,0.33728776,-0.104599397,0.298196098,0.290495667,0.395095063,18.67102003,1.633703839,6.550085984,2.829895355,7.915598886,4.912873598,14.48383344,38.29129731,27.61999215,26.86345369,66.55369141,49.38509447,4.810953851,127.2461266,129.046217,27.23498917,4.369465187,6.03668755,48.66278246,7.941272311,10.86967123,0.126762796,0.097568546,0.14437877,0.269284341,0.024165786,0.024004179,0.027885348,0.041808602,0.993197999,0.992339314,0.992370401,0.990573811,0.968323633,0.968393118,0.967956965,0.967483671,0.970093137,0.977051608,0.966185291,0.936584816,0.937650659,0.937785231,0.936940687,0.936024654
第14株,3.9,4.153,8.5159,5.6741,6.374709346,8.230326136,6.634568926,30.9655902,39.44410667,31.75007223,52.71084215,66.38335514,53.31069078,1.240521611,1.291090415,0.387499031,0.300133149,0.31236782,0.032687377,0.12705322,0.162497094,0.129809718,18.72583361,1.273303081,6.412701137,4.56274347,9.126226785,8.263317228,18.59989486,41.031624,39.43873925,31.09086888,71.30768748,66.37234409,8.065763249,127.1205194,128.7699985,38.64183946,4.302577126,3.808815056,64.86976694,7.370956289,6.567877147,0.325126807,0.380770194,0.23232048,0.400355264,0.044242562,0.048082105,0.033625532,0.054215724,0.990079996,0.989153079,0.99144983,0.988367588,0.955983426,0.956328899,0.956963355,0.955733349,0.967278897,0.961416691,0.976413567,0.959429802,0.913904312,0.914564963,0.915778862,0.913426234
第15株,3,3.263,6.4226,5.0632,20.65897995,27.31006248,20.51858471,50.15790043,64.93366725,49.47652114,66.59643744,84.15422013,65.19196185,1.330991531,1.321946318,0.39875907,0.301645433,0.299595497,0.023544537,0.138653644,0.196277209,0.172732672,18.7124513,1.323751136,6.435829554,12.95584859,22.12563208,27.35996803,28.10086643,55.56615124,64.91394293,37.06774317,81.95588866,84.12868702,26.73791776,124.4106946,130.6942459,63.60636933,8.562177605,6.890930405,82.33446514,11.11269671,9.56866989,0.655540176,0.916442049,0.566759915,0.850860854,0.109404823,0.142294684,0.097080164,0.134814717,0.968176584,0.961239201,0.970825598,0.961971234,0.845164406,0.844320824,0.84610176,0.844430343,0.97514855,0.965252211,0.978465302,0.967739237,0.714302873,0.712877654,0.715888189,0.713062605
第16株,2.6,2.751,4.19,5.2146,13.55250231,16.94065521,13.34669491,45.109069,55.55681912,44.00974241,66.84581893,81.17697143,64.55720852,1.269277175,1.250002017,0.386421356,0.309136586,0.304442058,0.046369865,0.111111908,0.159264067,0.112894203,18.72762671,1.255411604,6.405246804,8.366508387,14.55319236,16.98617839,24.27920032,48.82912795,55.54443112,35.59714219,78.15156028,81.15764493,16.57032077,126.1597171,129.3287876,54.36694788,6.079887714,4.804712749,79.3211811,8.950504863,7.72480973,0.316219178,0.443619505,0.469177331,0.694429945,0.060739726,0.078523352,0.08062947,0.107396978,0.981836635,0.977160089,0.977565452,0.973162117,0.913030174,0.912808011,0.912283648,0.911618598,0.984019937,0.977496368,0.976289611,0.964775163,0.833624099,0.833218466,0.832261454,0.831048468
第17株,4,4.156,6.3145,5.362,20.36429274,26.02641338,20.42810868,54.12667973,67.44401267,53.33742525,74.28826416,90.34887514,71.92299589,1.274049095,1.278041605,0.389507259,0.304768841,0.3057239,0.037169119,0.122052909,0.168521776,0.131352657,18.72369137,1.275555717,6.414263689,11.20127904,18.65130553,26.07019602,26.39918914,52.30783398,67.42827578,36.00073775,80.17789422,90.32756917,25.4117233,125.0554151,130.2715886,65.84712777,7.626204615,6.342066273,88.05858281,10.22322889,9.124234639,0.579379957,0.894059542,0.572999514,0.692048948,0.097613175,0.130749444,0.089452674,0.111275151,0.971495376,0.964853475,0.974356851,0.968650752,0.8659706,0.865125541,0.866267864,0.865663383,0.980126612,0.969289388,0.980329562,0.976251538,0.749905081,0.748442201,0.750420011,0.749373093
第18株,2,2.126,6.8944,5.968,15.20941733,19.21943755,15.04704087,47.81753458,58.50368009,46.40753328,70.1235656,83.54897159,66.98290932,1.277290181,1.26365377,0.388460628,0.307410651,0.30412872,0.041914283,0.116472658,0.165381885,0.123467602,18.72509108,1.267147391,6.410550406,9.612065479,17.21356889,19.26664632,25.60382406,53.00617106,58.48954415,36.50361618,81.96440743,83.52818767,18.79212424,125.8357614,129.6004121,57.24804766,6.609889219,5.431102953,81.64031974,9.498844015,8.531368593,0.597061299,0.853474738,0.580228963,0.857204248,0.092186424,0.117564,0.083305274,0.117763521,0.975680208,0.971119681,0.978168462,0.971942235,0.898030087,0.897287218,0.898398844,0.897064377,0.972956534,0.961421732,0.973751217,0.961249865,0.806458037,0.805124351,0.807120483,0.804724497
第19株,2.3,2.356,9.5443,8.6547,12.60025254,15.1270988,12.05734292,45.94665656,54.56582963,43.61868129,70.09361689,82.50503186,66.04884697,1.254596381,1.200539334,0.380224081,0.316711056,0.303064863,0.063171398,0.091131902,0.140672242,0.077500843,18.73546282,1.21736699,6.387908444,7.284082039,12.13268539,15.16500344,23.04649301,45.46995502,54.55657964,34.71620816,75.53959829,82.48979699,14.74951404,126.5098722,128.9381648,53.22679221,5.424341881,3.725224395,80.3662279,8.289492545,6.128478472,0.428893749,0.5835565,0.46413991,0.700018469,0.061432792,0.079031613,0.063301922,0.08835842,0.984692903,0.98068765,0.984311948,0.980714427,0.926405356,0.926225816,0.926690578,0.925510972,0.978116864,0.970184306,0.976265081,0.964203967,0.858226883,0.857894263,0.858755428,0.856570559
第20株,2,2.268,8.1861,8.652,3.313219915,4.692325821,3.780696715,21.47198315,28.94613378,23.37400084,41.15806889,53.50762379,43.20944877,1.241127277,1.416243395,0.398118895,0.281109092,0.320772013,-0.004566166,0.172268819,0.194356685,0.198922851,18.71206691,1.35480422,6.446796397,2.749565474,6.488996907,4.709964649,14.37061376,35.21003144,28.94416091,26.30119907,64.41801427,53.50265049,4.614567683,127.4419576,128.6117543,28.46494005,3.455158072,4.036569869,52.48033747,6.428416639,7.836732772,0.176140014,0.233797873,0.115657864,0.251258849,0.028239117,0.036839845,0.021586612,0.037861734,0.992963722,0.991149616,0.993752299,0.990947513,0.972542908,0.972626524,0.973420507,0.972633475,0.966043456,0.95442097,0.977478794,0.951004254,0.945839707,0.946002355,0.947547484,0.946015877
第21株,3.4,3.514,9.3038,9.654,8.250119084,10.69238421,8.773963966,36.01561585,45.92201021,37.96601169,58.9653212,74.01735003,61.53303522,1.218649204,1.296027863,0.385777311,0.297661279,0.31656141,0.030948479,0.128930432,0.157331933,0.126383454,18.72775437,1.268902974,6.410461977,5.464863123,10.80143742,10.72965059,20.23456877,44.29766435,45.91474679,32.78521701,74.61090163,74.00390531,10.44767295,126.9160806,129.0161534,44.93900899,4.741563252,4.772296074,72.37354514,7.782026951,8.30365081,0.370695225,0.294647887,0.466741597,0.806316901,0.05301264,0.051619718,0.064535843,0.093626761,0.986433785,0.985317583,0.984397771,0.98116715,0.947265594,0.947502054,0.946657781,0.945850691,0.972402275,0.978059368,0.965381436,0.939870424,0.897312105,0.897760143,0.896160955,0.89463353
第22株,3.3,3.321,9.1764,5.2163,4.476496058,5.566026755,4.663076541,27.42621363,33.01043297,27.62661061,51.31874684,60.2419926,50.21165976,1.1936383,1.243389178,0.378497103,0.30440759,0.317095307,0.047673523,0.108491732,0.135491309,0.087817787,18.73683929,1.226029576,6.391176135,3.516822894,7.166110559,5.593270842,16.89589736,37.31808973,33.00737352,29.79545929,67.49535869,60.23413912,5.476821963,127.4987507,128.4572289,32.47321448,2.959204116,3.104812653,59.06709305,5.417555435,6.172707691,0.182366398,0.252061956,0.261357093,0.36260778,0.028626786,0.035667746,0.037296708,0.04984589,0.993039607,0.991437676,0.991421345,0.989826075,0.97051043,0.97078,0.970596725,0.969842613,0.974367349,0.964320957,0.96297967,0.948411719,0.941890495,0.942413809,0.942058002,0.940594693
第23株,2,2.014,8.7362,8.5623,11.86874433,16.82625739,13.0317361,40.29208143,55.76025631,43.70909967,60.54464509,82.06709446,64.88279256,1.291175425,1.417694823,0.403248811,0.284439785,0.312311405,-0.005033112,0.172765735,0.209746432,0.214779544,18.70611805,1.37318574,6.455720449,7.724562611,15.63447936,16.87114644,22.84651383,50.30356626,55.74815187,34.42133701,78.52341786,82.04826863,16.32118713,125.8252402,130.0976808,54.11667163,7.264772674,7.24986121,79.53885424,10.76159331,11.06012235,0.420869688,0.656385239,0.537745694,0.728129672,0.073324022,0.101565819,0.088940327,0.113856322,0.978768945,0.97315739,0.975695822,0.97067577,0.913117689,0.912239702,0.912483473,0.911868947,0.978026601,0.965796929,0.971958312,0.962062634,0.833783915,0.832181274,0.832626088,0.831504977
第24株,3.2,3.41,5.5568,5.3692,2.648162388,3.772252213,3.120558973,19.07005926,26.06638029,22.08882963,37.95034115,50.10664514,43.10862028,1.208838623,1.42447919,0.395373929,0.277556831,0.32706924,-0.006794366,0.175080566,0.186121788,0.192916155,18.71515096,1.348245589,6.443125191,2.672423263,6.522056054,3.796662168,14.69447468,36.27586686,26.06450251,27.48466906,66.23050723,50.10025404,3.716205825,127.5735908,128.5057435,25.77568249,3.074207988,3.778299362,49.52009017,6.114297981,7.652205875,0.263612186,0.147780802,0.16782595,0.431956445,0.032645643,0.022779816,0.022369974,0.048605358,0.99351061,0.994251818,0.994929087,0.991629415,0.978238422,0.978674233,0.978397415,0.977560197,0.93675542,0.964641026,0.960064476,0.896474601,0.956950409,0.957803254,0.957261503,0.955623939
第25株,2.1,2.153,6.153,4.0561,4.533571946,6.867456506,5.315067355,23.37982757,34.62428046,27.22787294,40.97737858,59.28789978,47.23081555,1.292073279,1.51480038,0.410828975,0.271209976,0.317961049,-0.031135008,0.204708248,0.232486925,0.263621933,18.6963113,1.435945715,6.480466962,3.901315392,9.350844207,6.896195783,16.9526203,41.38492973,34.62008986,29.38515464,70.73304134,59.27860444,6.707268636,127.0460161,129.0279917,33.89864746,4.961492087,5.408886222,58.0087591,8.710545708,9.50894095,0.283670008,0.27831897,0.21210056,0.437994002,0.047124383,0.048502335,0.040330153,0.066755248,0.987786506,0.987087165,0.988341286,0.98422029,0.960345764,0.960306713,0.960659316,0.959586606,0.960458251,0.961308931,0.970438009,0.939111387,0.922263986,0.922188982,0.922866321,0.920806454
